Date : 2026-03-29 18:46:47
Directory : c:\Users\furkan.kiraz\Desktop\nl2sql\app
Total : 176 files,  39356 codes, 6082 comments, 7801 blanks, all 53239 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_startup_wiring.py                     | Python   |        223 |         68 |         62 |        353 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_structured_output_firewall.py         | Python   |        147 |          0 |         54 |        201 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_validation_repair_service.py          | Python   |        156 |          0 |         28 |        184 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_validation_service.py                 | Python   |        536 |         67 |        124 |        727 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\tests\test_viewer_api.py                         | Python   |         82 |         11 |         25 |        118 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\utils\__init__.py                                | Python   |          0 |          0 |          1 |          1 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\utils\date_literals.py                           | Python   |        132 |          1 |         30 |        163 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\utils\text_normalization.py                      | Python   |         25 |         17 |         18 |         60 |
| c:\Users\furkan.kiraz\Desktop\nl2sql\app\utils\turkish.py                                 | Python   |         38 |         19 |         15 |         72 |
| Total                                                                                     |          |     39,356 |      6,082 |      7,801 |     53,239 |
+-------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
